Name,Type,Ownership,Atoll/Island,Address,Level
Lifelong Learning Centre,Specialised,Private,K.Male',G.Fini aage/ Neeloafaru Magu,Certificate
Luminous Training Centre,Mobile,Private,K.Male',G.Lagana/ Hadheebeemagu,Certificate
MACL Aviation Institute,Specialised,Government,Hulhule',MACL Corporate Office/ Hulhule,Certificate
Maldives academy for Specialised Training/ K.Male',Mobile,Private,K.Male',G.Gracious/ Nirolhumagu,Certificate/ Diploma
Maldives Institute for Training and Research,Post Secondary/ Mobile/ Open Learning,Private,K.Male',Ma.Kabeelaage/ 2nd Floor/2B,Certificate/ Diploma
Maldives Institute of Technology,Post Secondary,Private,K.Male',M.Gaus,Certificate
Maldives Institute of Vocational and Educational Training (MIVET) Maldives Polytechnic,Mobile,Government,K.Male',,
Maldives Monetary Authority Training Institute,Specialised,Private,K.Male',Maldives Monetary Authority/ Boduthakurufaanu Magu,Certificate/ Diploma
Maldives Music and Arts Centre,Mobile,Private,K.Male',H.Bandaara Villa/ Abadhahfehi Magu,Certificate
Maldives Polytechnic,Mobile,Government,K.Male',Maldives Polytechnic/ Rhendhee Higun,Certificate/ Diploma
Maldivian Red Cresent Training Centre,Mobile,Government,K.Male',H.Gaadhooge/ Gaadhoo building,Certificate
Male' Business School Eydhafushi Campus,Specialised,Private,B.Eydhafushi,Bahiyya Pre-school/ Eydhafushi,Certificate/ Diploma/ Degree
Male' Fitness academy/ K.Male',Mobile,Private,K.Male',H.Hanafasge,Certificate/ Diploma
Maldives Business School,College,Private,K.Male',Ma.Mary,Certificate/ Diploma/ Degree/ Post Graduate
Male’ Centre of Technology,Specialised,Private,K.Male',Ma.Seylam,Certificate
Male’ Language School,Post secondary/ Specialised/ Open Learning,Private,K.Male',Ma.Mary,Certificate/ Diploma
Mandhu College,College,Private,K.Male',G.Nooraanee maage,Certificate/ Diploma/ Degree/ Post Graduate
Manfaa Institute for Training,Specialised,Private,K.Male',Kisumoo/ Ameenee Goalhi,Certificate
MAPS College,College,Private,K.Male',H. Vaifilaage-aage/ 1st Floor North/ Janavaree Magu,Certificate/ Diploma/ Advanced Diploma/ Degree
